gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-237456-8317434255,237456,01MCCAIN_237456,39.38588,-77.40947,1.6,34.5,EIA_MMWG_FUZZY,MD
generator-237462-8969073269,237462,01MONTGMRY_237462,39.237945,-77.293217,1.4,34.5,EIA_MMWG_FUZZY,MD
generator-237484-6338637679,237484,01PENNA GL_237484,39.68753,-78.108,2,34.5,EIA_MMWG_FUZZY,MD
generator-237484-7727981143,237484,01PENNA GL_237484,39.70285,-78.08261,2,34.5,EIA_MMWG_FUZZY,MD
generator-237564-8911689297,237564,01YELLOWSP_237564,39.5463,-77.4164,2,34.5,EIA_MMWG_FUZZY,MD
generator-237575-1919173723,237575,01PW JCT_237575,39.6301,-77.9099,2,34.5,EIA_MMWG_FUZZY,MD
generator-237617-6839297332,237617,01GA PAC T_237617,39.373263,-77.34985,2,34.5,EIA_MMWG_FUZZY,MD
generator-237653-5203760291,237653,01CUSHWA T_237653,39.6385,-77.7923,1.8,34.5,EIA_MMWG_FUZZY,MD
generator-237659-5652575682,237659,01LIBRTY A_237659,39.67185,-77.82329,2,34.5,EIA_MMWG_FUZZY,MD
generator-237659-5583329939,237659,01LIBRTY A_237659,39.68185,-77.80145,2,34.5,EIA_MMWG_FUZZY,MD
generator-237678-9372330992,237678,01CERTNTEE_237678,39.62143,-77.82543,2,34.5,EIA_MMWG_FUZZY,MD
generator-237678-7075920681,237678,01CERTNTEE_237678,39.61849,-77.82332,2,34.5,EIA_MMWG_FUZZY,MD
generator-237769-9000112789,237769,01DAM 5 HY_237769,39.625172,-77.860901,4.3,34.5,EIA_MMWG_FUZZY,MD
generator-237769-5574038883,237769,01DAM 5 HY_237769,39.628867,-77.874899,2,34.5,EIA_MMWG_FUZZY,MD
generator-237778-590510018,237778,01MSM_W1-116_237778,39.675,-77.345,13.7,34.5,EI_EIA2PF,MD
generator-237779-2824980004,237779,01MDS_W4-102_237779,39.563056,-77.720278,27,34.5,EI_EIA2PF,MD
generator-237792-6658861800,237792,01NIBC2_237792,39.44,-77.45,15.7,34.5,EIA_MMWG_FUZZY,MD
generator-237798-9101980119,237798,01AA1-109_237798,39.570338,-77.363415,9,34.5,EI_EIA2PF,MD
generator-239739-2249015885,239739,02CROMWELL,39.172222,-76.631944,1.8,138.0,EIA_MMWG_EXACT,MD
